id,attribut,valeur,ref,impactprix,impactpoids
2,"Taille:select:1, Couleur:select:2, Effet:select:0"," (x):1,:2,Standard:1",,0,0
3,"Taille:select:1, Couleur:select:2, Effet:select:0","Size (xPacking Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)Packing Unit
(pcs)):1,Colors:2,Effects:1",Sys.No.,0,0
4,"Taille:select:1, Couleur:select:2, Effet:select:0","90 (x12):1,Crystal:2,Standard:1",159523,0,0
5,"Taille:select:1, Couleur:select:2, Effet:select:0","75 (x12):1,Crystal:2,Standard:1",5081769,6,8910
5,"Taille:select:1, Couleur:select:2, Effet:select:0","75 (x12):1,Crystal:2,Golden Shadow:1",5100417,41,8910
5,"Taille:select:1, Couleur:select:2, Effet:select:0","75 (x12):1,Crystal:2,Silver Glaze:1",5101417,41,8910
5,"Taille:select:1, Couleur:select:2, Effet:select:0","90 (x9):1,Crystal:2,Standard:1",5081770,0,3
5,"Taille:select:1, Couleur:select:2, Effet:select:0","90 (x9):1,Crystal:2,Golden Shadow:1",5100418,34,3
5,"Taille:select:1, Couleur:select:2, Effet:select:0","90 (x9):1,Crystal:2,Silver Glaze:1",5101418,34,3
5,"Taille:select:1, Couleur:select:2, Effet:select:0","110 (x6):1,Crystal:2,Standard:1",5081772,15,0
5,"Taille:select:1, Couleur:select:2, Effet:select:0","110 (x6):1,Crystal:2,Golden Shadow:1",5100419,51,0
5,"Taille:select:1, Couleur:select:2, Effet:select:0","110 (x6):1,Crystal:2,Silver Glaze:1",5101416,51,0
6,"Taille:select:1, Couleur:select:2, Effet:select:0","50 (x12):1,Crystal:2,Standard:1",159524,0,0
6,"Taille:select:1, Couleur:select:2, Effet:select:0","50 (x12):1,Crystal:2,Standard:1",159486,0,0
7,"Taille:select:1, Couleur:select:2, Effet:select:0","40x39 (x20):1,Crystal:2,Standard:1",159487,0,0
8,"Taille:select:1, Couleur:select:2, Effet:select:0","80 (x4):1,Crystal:2,Standard:1",160444,0,0
9,"Taille:select:1, Couleur:select:2, Effet:select:0","55 (x36):1,Crystal:2,Standard:1",159525,0,0
9,"Taille:select:1, Couleur:select:2, Effet:select:0","55 (x36):1,Crystal:2,Standard:1",159490,0,0
10,"Taille:select:1, Couleur:select:2, Effet:select:0","175 (x1):1,Crystal:2,Standard:1",5256819,0,0
11,"Taille:select:1, Couleur:select:2, Effet:select:0","12 (x2600):1,Crystal:2,Standard:1",265953,371.9,5160
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Antique Green:2,Standard:1",274034,295.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Blue Violet:2,Standard:1",627120,295.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Bordeaux:2,Standard:1",274035,295.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Standard:1",265954,230.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Blue AB:1",274045,279.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Bronze Shade:1",1186980,279.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Golden Shadow:1",983974,279.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Golden Teak:1",288048,279.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Lilac:1",5039047,279.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Silver Glaze:1",5101419,279.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Silver Night:1",1135034,279.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Silver Shade:1",983973,279.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Arctic White:2,Standard:1",5284407,295.9,3560
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Dark Sapphire:2,Standard:1",943307,295.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Emerald:2,Standard:1",696435,295.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Jet:2,Standard:1",632236,295.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Light Peridot:2,Standard:1",662779,295.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Light Topaz:2,Standard:1",274036,295.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Medium Sapphire:2,Standard:1",274037,295.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Rosaline:2,Standard:1",274038,295.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Silk:2,Standard:1",5039147,295.9,3560
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Topaz:2,Standard:1",627126,295.9,3560
11,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Violet:2,Standard:1",695137,295.9,5360
11,"Taille:select:1, Couleur:select:2, Effet:select:0","16 (x1000):1,Crystal:2,Standard:1",265955,227.9,1960
11,"Taille:select:1, Couleur:select:2, Effet:select:0","18 (x600):1,Crystal:2,Standard:1",265966,156.9,1160
11,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x420):1,Crystal:2,Standard:1",265970,133.9,800
11,"Taille:select:1, Couleur:select:2, Effet:select:0","22 (x350):1,Crystal:2,Standard:1",265971,152.9,660
11,"Taille:select:1, Couleur:select:2, Effet:select:0","24 (x300):1,Crystal:2,Standard:1",265973,180.9,560
11,"Taille:select:1, Couleur:select:2, Effet:select:0","26 (x240):1,Crystal:2,Standard:1",265977,169.9,440
11,"Taille:select:1, Couleur:select:2, Effet:select:0","28 (x150):1,Crystal:2,Standard:1",265981,103.9,260
11,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x125):1,Crystal:2,Standard:1",265984,103.9,210
11,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x56):1,Crystal:2,Standard:1",265986,126.9,72
11,"Taille:select:1, Couleur:select:2, Effet:select:0","50 (x20):1,Crystal:2,Standard:1",265987,0,-20
11,"Taille:select:1, Couleur:select:2, Effet:select:0","60 (x20):1,Crystal:2,Standard:1",265988,56.9,0
12,"Taille:select:1, Couleur:select:2, Effet:select:0","10 (x3000):1,Crystal:2,Standard:1",265809,437.9,5960
12,"Taille:select:1, Couleur:select:2, Effet:select:0","12 (x2600):1,Crystal:2,Standard:1",265814,371.9,5160
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Antique Green:2,Standard:1",274039,295.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Blue Violet:2,Standard:1",627121,295.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Bordeaux:2,Standard:1",274040,295.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Standard:1",265822,230.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Blue AB:1",294794,279.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Bronze Shade:1",1186981,279.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Golden Shadow:1",982125,279.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Golden Teak:1",288049,279.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Lilac:1",5039042,279.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Silver Glaze:1",5101420,279.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Silver Night:1",1134427,279.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Silver Shade:1",982301,279.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Arctic White:2,Standard:1",5284408,295.9,3560
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Dark Sapphire:2,Standard:1",943308,295.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Emerald:2,Standard:1",696436,295.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Jet:2,Standard:1",626064,295.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Light Peridot:2,Standard:1",662780,295.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Light Topaz:2,Standard:1",274041,295.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Medium Sapphire:2,Standard:1",274042,295.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Rosaline:2,Standard:1",274043,295.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Silk:2,Standard:1",5014575,295.9,3560
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Topaz:2,Standard:1",627127,295.9,3560
12,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Violet:2,Standard:1",695138,295.9,5360
12,"Taille:select:1, Couleur:select:2, Effet:select:0","16 (x1000):1,Crystal:2,Standard:1",265830,227.9,1960
12,"Taille:select:1, Couleur:select:2, Effet:select:0","18 (x600):1,Crystal:2,Standard:1",265837,156.9,1160
12,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x420):1,Crystal:2,Standard:1",265840,133.9,800
12,"Taille:select:1, Couleur:select:2, Effet:select:0","22 (x350):1,Crystal:2,Standard:1",265844,152.9,660
12,"Taille:select:1, Couleur:select:2, Effet:select:0","24 (x300):1,Crystal:2,Standard:1",265845,180.9,560
12,"Taille:select:1, Couleur:select:2, Effet:select:0","26 (x240):1,Crystal:2,Standard:1",265938,169.9,440
12,"Taille:select:1, Couleur:select:2, Effet:select:0","28 (x150):1,Crystal:2,Standard:1",265939,103.9,260
12,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x125):1,Crystal:2,Standard:1",265940,103.9,210
12,"Taille:select:1, Couleur:select:2, Effet:select:0","32 (x125):1,Crystal:2,Standard:1",265773,143.9,210
12,"Taille:select:1, Couleur:select:2, Effet:select:0","34 (x100):1,Crystal:2,Standard:1",265942,133.9,160
12,"Taille:select:1, Couleur:select:2, Effet:select:0","36 (x80):1,Crystal:2,Standard:1",265943,124.9,120
12,"Taille:select:1, Couleur:select:2, Effet:select:0","38 (x80):1,Crystal:2,Standard:1",265945,168.9,120
12,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x56):1,Crystal:2,Standard:1",265946,126.9,72
12,"Taille:select:1, Couleur:select:2, Effet:select:0","50 (x20):1,Crystal:2,Standard:1",265947,0,-20
12,"Taille:select:1, Couleur:select:2, Effet:select:0","60 (x20):1,Crystal:2,Standard:1",265941,56.9,0
13,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x1800):1,Crystal:2,Standard:1",265989,3,5094
13,"Taille:select:1, Couleur:select:2, Effet:select:0","16 (x1000):1,Crystal:2,Standard:1",265991,0,1694
14,"Taille:select:1, Couleur:select:2, Effet:select:0","16 (x1000):1,Crystal:2,Standard:1",266000,0,0
15,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x800):1,Crystal:2,Standard:1",5191369,158.6,1570
15,"Taille:select:1, Couleur:select:2, Effet:select:0","16 (x540):1,Crystal:2,Standard:1",5191371,120.6,510
15,"Taille:select:1, Couleur:select:2, Effet:select:0","18 (x400):1,Crystal:2,Standard:1",5191373,106.6,370
15,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x280):1,Crystal:2,Standard:1",5191375,82.6,250
15,"Taille:select:1, Couleur:select:2, Effet:select:0","22 (x210):1,Crystal:2,Standard:1",5191378,72.6,180
15,"Taille:select:1, Couleur:select:2, Effet:select:0","24 (x150):1,Crystal:2,Standard:1",5191380,55.6,120
15,"Taille:select:1, Couleur:select:2, Effet:select:0","28 (x96):1,Crystal:2,Standard:1",5191383,58.6,66
15,"Taille:select:1, Couleur:select:2, Effet:select:0","32 (x96):1,Crystal:2,Standard:1",5191386,102.6,162
15,"Taille:select:1, Couleur:select:2, Effet:select:0","36 (x72):1,Crystal:2,Standard:1",5191388,86.6,114
15,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x30):1,Crystal:2,Standard:1",5191390,0,0
16,"Taille:select:1, Couleur:select:2, Effet:select:0","18 (x400):1,Crystal:2,Standard:1",5279198,0,0
17,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x800):1,Crystal:2,Standard:1",5191392,103,1452
17,"Taille:select:1, Couleur:select:2, Effet:select:0","18 (x400):1,Crystal:2,Standard:1",5191394,51,252
17,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x280):1,Crystal:2,Standard:1",5191396,27,132
17,"Taille:select:1, Couleur:select:2, Effet:select:0","22 (x210):1,Crystal:2,Standard:1",5237458,17,62
17,"Taille:select:1, Couleur:select:2, Effet:select:0","24 (x150):1,Crystal:2,Standard:1",5191398,0,2
18,"Taille:select:1, Couleur:select:2, Effet:select:0","22 (x210):1,Crystal:2,Standard:1",5279209,0,0
19,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x800):1,Crystal:2,Standard:1",5191400,103,652
19,"Taille:select:1, Couleur:select:2, Effet:select:0","16 (x540):1,Crystal:2,Standard:1",5191402,65,392
19,"Taille:select:1, Couleur:select:2, Effet:select:0","18 (x400):1,Crystal:2,Standard:1",5191404,51,252
19,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x280):1,Crystal:2,Standard:1",5191406,27,132
19,"Taille:select:1, Couleur:select:2, Effet:select:0","22 (x210):1,Crystal:2,Standard:1",5191408,17,62
19,"Taille:select:1, Couleur:select:2, Effet:select:0","24 (x150):1,Crystal:2,Standard:1",5191410,0,2
20,"Taille:select:1, Couleur:select:2, Effet:select:0","22 (x210):1,Crystal:2,Standard:1",5279215,0,0
21,"Taille:select:1, Couleur:select:2, Effet:select:0","81x13 (x48):1,Crystal:2,Standard:1",166099,43,46056
21,"Taille:select:1, Couleur:select:2, Effet:select:0","145x19 (x24):1,Crystal:2,Standard:1",159885,0,0
21,"Taille:select:1, Couleur:select:2, Effet:select:0","75x14 (x48):1,Crystal:2,Standard:1",166098,40,24
21,"Taille:select:1, Couleur:select:2, Effet:select:0","137x23 (x24):1,Crystal:2,Standard:1",159882,6,0
22,"Taille:select:1, Couleur:select:2, Effet:select:0","63x18 (x150):1,Crystal:2,Standard:1",159199,68,135
22,"Taille:select:1, Couleur:select:2, Effet:select:0","100x18 (x105):1,Crystal:2,Standard:1",159200,0,0
23,"Taille:select:1, Couleur:select:2, Effet:select:0","63x22 (x125):1,Crystal:2,Standard:1",159204,52,75
23,"Taille:select:1, Couleur:select:2, Effet:select:0","63x22 (x125):1,Crystal:2,Golden Teak:1",859916,129,75
23,"Taille:select:1, Couleur:select:2, Effet:select:0","76x22 (x100):1,Crystal:2,Standard:1",159205,0,0
23,"Taille:select:1, Couleur:select:2, Effet:select:0","76x22 (x100):1,Crystal:2,Golden Teak:1",854284,69,0
24,"Taille:select:1, Couleur:select:2, Effet:select:0","63x22 (x125):1,Crystal:2,Standard:1",159206,52,75
24,"Taille:select:1, Couleur:select:2, Effet:select:0","63x22 (x125):1,Crystal:2,Golden Teak:1",668597,129,75
24,"Taille:select:1, Couleur:select:2, Effet:select:0","76x22 (x100):1,Crystal:2,Standard:1",159207,0,0
24,"Taille:select:1, Couleur:select:2, Effet:select:0","76x22 (x100):1,Crystal:2,Golden Teak:1",632888,69,0
25,"Taille:select:1, Couleur:select:2, Effet:select:0","52x18 (x180):1,Crystal:2,Standard:1",159049,149,240
25,"Taille:select:1, Couleur:select:2, Effet:select:0","58x26 (x60):1,Crystal:2,Standard:1",159050,0,-60
25,"Taille:select:1, Couleur:select:2, Effet:select:0","63x30 (x60):1,Crystal:2,Standard:1",159051,53,0
26,"Taille:select:1, Couleur:select:2, Effet:select:0","52x18 (x180):1,Crystal:2,Standard:1",159889,0,0
27,"Taille:select:1, Couleur:select:2, Effet:select:0","90 (x12):1,Crystal:2,Standard:1",159893,0,0
28,"Taille:select:1, Couleur:select:2, Effet:select:0","5 (x8400):1,Crystal:2,Standard:1",159894,289,16512
28,"Taille:select:1, Couleur:select:2, Effet:select:0","6 (x7200):1,Crystal:2,Standard:1",159721,490,14112
28,"Taille:select:1, Couleur:select:2, Effet:select:0","7 (x3360):1,Crystal:2,Standard:1",159722,198,6432
28,"Taille:select:1, Couleur:select:2, Effet:select:0","8 (x3360):1,Crystal:2,Standard:1",159895,333,6432
28,"Taille:select:1, Couleur:select:2, Effet:select:0","9 (x3024):1,Crystal:2,Standard:1",159382,417,8784
28,"Taille:select:1, Couleur:select:2, Effet:select:0","10 (x1792):1,Crystal:2,Standard:1",159208,251,3296
28,"Taille:select:1, Couleur:select:2, Effet:select:0","10 (x1792):1,Crystal:2,Blue AB:1",187449,327,3296
28,"Taille:select:1, Couleur:select:2, Effet:select:0","10 (x1792):1,Crystal:2,Golden Teak:1",877003,327,3296
28,"Taille:select:1, Couleur:select:2, Effet:select:0","10 (x1792):1,Arctic White:2,Standard:1",5284399,352,3296
28,"Taille:select:1, Couleur:select:2, Effet:select:0","10 (x1792):1,Jet:2,Standard:1",843179,352,3296
28,"Taille:select:1, Couleur:select:2, Effet:select:0","10 (x1792):1,Light Topaz:2,Standard:1",651572,352,3296
28,"Taille:select:1, Couleur:select:2, Effet:select:0","10 (x1792):1,Silk:2,Standard:1",5039148,352,3296
28,"Taille:select:1, Couleur:select:2, Effet:select:0","10 (x1792):1,Topaz:2,Standard:1",667046,352,3296
28,"Taille:select:1, Couleur:select:2, Effet:select:0","11 (x1568):1,Crystal:2,Standard:1",159723,307,4416
28,"Taille:select:1, Couleur:select:2, Effet:select:0","12 (x972):1,Crystal:2,Standard:1",159209,188,1656
28,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x720):1,Crystal:2,Standard:1",159383,162,1872
28,"Taille:select:1, Couleur:select:2, Effet:select:0","16 (x384):1,Crystal:2,Standard:1",159896,68,480
28,"Taille:select:1, Couleur:select:2, Effet:select:0","18 (x320):1,Crystal:2,Standard:1",159689,135,672
28,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Crystal:2,Standard:1",159690,0,0
29,"Taille:select:1, Couleur:select:2, Effet:select:0","7 (x3696):1,Crystal:2,Standard:1",160322,0,0
30,"Taille:select:1, Couleur:select:2, Effet:select:0","25x8 (x1080):1,Crystal:2,Standard:1",159048,0,0
31,"Taille:select:1, Couleur:select:2, Effet:select:0","12x12x12 (x480):1,Crystal:2,Standard:1",989475,48,762
31,"Taille:select:1, Couleur:select:2, Effet:select:0","18x18x18 (x140):1,Crystal:2,Standard:1",989476,0,82
32,"Taille:select:1, Couleur:select:2, Effet:select:0","20x11.5 (x480):1,Crystal:2,Standard:1",989473,28,672
32,"Taille:select:1, Couleur:select:2, Effet:select:0","28x15.5 (x144):1,Crystal:2,Standard:1",989474,0,0
33,"Taille:select:1, Couleur:select:2, Effet:select:0","10 (x560):1,Crystal:2,Standard:1",5277694,0,982
33,"Taille:select:1, Couleur:select:2, Effet:select:0","14 (x280):1,Crystal:2,Standard:1",5277695,3,422
34,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Antique Green:2,Standard:1",262022,349.2,287
34,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Blue Violet:2,Standard:1",627122,349.2,287
34,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Bordeaux:2,Standard:1",262026,349.2,287
34,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Crystal:2,Standard:1",249101,283.2,287
34,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Crystal:2,Blue AB:1",262027,333.2,287
34,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Dark Sapphire:2,Standard:1",943311,349.2,287
34,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Emerald:2,Standard:1",696437,349.2,287
34,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Jet:2,Standard:1",650273,349.2,287
34,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Light Peridot:2,Standard:1",662782,349.2,287
34,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Light Topaz:2,Standard:1",262025,349.2,287
34,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Medium Sapphire:2,Standard:1",262023,349.2,287
34,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Rosaline:2,Standard:1",262024,349.2,287
34,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Silk:2,Standard:1",5039150,349.2,143
34,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Topaz:2,Standard:1",627128,349.2,143
34,"Taille:select:1, Couleur:select:2, Effet:select:0","20 (x144):1,Violet:2,Standard:1",695145,349.2,287
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Antique Green:2,Standard:1",262030,189.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Arctic White:2,Standard:1",5284410,189.2,47
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Blue Violet:2,Standard:1",626459,189.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Bordeaux:2,Standard:1",262031,189.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Crystal:2,Standard:1",249102,150.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Crystal:2,Blue AB:1",262029,179.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Crystal:2,Golden Shadow:1",987871,179.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Crystal:2,Golden Teak:1",679428,179.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Crystal:2,Silver Glaze:1",5101421,179.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Dark Sapphire:2,Standard:1",943312,189.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Emerald:2,Standard:1",696438,189.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Jet:2,Standard:1",650274,189.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Light Peridot:2,Standard:1",662784,189.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Light Topaz:2,Standard:1",262032,189.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Medium Sapphire:2,Standard:1",262033,189.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Rosaline:2,Standard:1",262034,189.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Silk:2,Standard:1",5039152,189.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Topaz:2,Standard:1",627134,189.2,47
34,"Taille:select:1, Couleur:select:2, Effet:select:0","30 (x48):1,Violet:2,Standard:1",695146,189.2,95
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Antique Green:2,Standard:1",262040,297.2,119
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Blue Violet:2,Standard:1",626105,297.2,119
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Bordeaux:2,Standard:1",662792,297.2,159
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Crystal:2,Standard:1",249103,241.2,159
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Crystal:2,Blue AB:1",262035,283.2,119
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Crystal:2,Golden Shadow:1",982134,283.2,159
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Crystal:2,Golden Teak:1",889227,283.2,159
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Crystal:2,Silver Glaze:1",5101422,283.2,159
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Dark Sapphire:2,Standard:1",1002764,297.2,159
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Emerald:2,Standard:1",696439,297.2,159
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Jet:2,Standard:1",650275,297.2,159
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Light Peridot:2,Standard:1",662785,297.2,159
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Light Topaz:2,Standard:1",262041,297.2,159
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Medium Sapphire:2,Standard:1",262042,297.2,119
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Rosaline:2,Standard:1",262043,297.2,119
34,"Taille:select:1, Couleur:select:2, Effet:select:0","40 (x40):1,Silk:2,Standard:1",5039155,297.2,119
